"filename", "language", "Dart", "YAML", "Markdown", "comment", "blank", "total"
"/LinuxData/PotatoTask/README.md", "Markdown", 0, 0, 3, 0, 1, 4
"/LinuxData/PotatoTask/potato_task/README.md", "Markdown", 0, 0, 10, 0, 7, 17
"/LinuxData/PotatoTask/potato_task/analysis_options.yaml", "YAML", 0, 3, 0, 22, 4, 29
"/LinuxData/PotatoTask/potato_task/devtools_options.yaml", "YAML", 0, 3, 0, 0, 1, 4
"/LinuxData/PotatoTask/potato_task/lib/application/controllers/settings_controller.dart", "Dart", 0, 0, 0, 0, 1, 1
"/LinuxData/PotatoTask/potato_task/lib/application/controllers/timer_controller.dart", "Dart", 0, 0, 0, 1, 0, 1
"/LinuxData/PotatoTask/potato_task/lib/application/providers/settings_provider.dart", "Dart", 0, 0, 0, 1, 0, 1
"/LinuxData/PotatoTask/potato_task/lib/application/providers/timer_provider.dart", "Dart", 29, 0, 0, 1, 7, 37
"/LinuxData/PotatoTask/potato_task/lib/core/constants/default_settings.dart", "Dart", 3, 0, 0, 0, 0, 3
"/LinuxData/PotatoTask/potato_task/lib/core/constants/timer_status.dart", "Dart", 8, 0, 0, 0, 1, 9
"/LinuxData/PotatoTask/potato_task/lib/core/constants/timer_type.dart", "Dart", 16, 0, 0, 0, 2, 18
"/LinuxData/PotatoTask/potato_task/lib/core/constants/timer_unit_status.dart", "Dart", 10, 0, 0, 0, 1, 11
"/LinuxData/PotatoTask/potato_task/lib/core/constants/timer_unit_type.dart", "Dart", 16, 0, 0, 0, 3, 19
"/LinuxData/PotatoTask/potato_task/lib/core/services/clock.dart", "Dart", 21, 0, 0, 1, 7, 29
"/LinuxData/PotatoTask/potato_task/lib/core/services/settings_service.dart", "Dart", 0, 0, 0, 0, 1, 1
"/LinuxData/PotatoTask/potato_task/lib/core/utils/helper.dart", "Dart", 1, 0, 0, 0, 0, 1
"/LinuxData/PotatoTask/potato_task/lib/core/utils/uuid_helper.dart", "Dart", 7, 0, 0, 0, 1, 8
"/LinuxData/PotatoTask/potato_task/lib/data/models/settings_model.dart", "Dart", 0, 0, 0, 0, 1, 1
"/LinuxData/PotatoTask/potato_task/lib/data/models/task_model.dart", "Dart", 10, 0, 0, 0, 1, 11
"/LinuxData/PotatoTask/potato_task/lib/data/models/timer_unit_model.dart", "Dart", 50, 0, 0, 1, 10, 61
"/LinuxData/PotatoTask/potato_task/lib/data/repositories/settings_repository.dart", "Dart", 0, 0, 0, 0, 1, 1
"/LinuxData/PotatoTask/potato_task/lib/data/repositories/timer_repository.dart", "Dart", 0, 0, 0, 0, 1, 1
"/LinuxData/PotatoTask/potato_task/lib/domain/task/task.dart", "Dart", 3, 0, 0, 0, 2, 5
"/LinuxData/PotatoTask/potato_task/lib/domain/timer/timer.dart", "Dart", 125, 0, 0, 6, 33, 164
"/LinuxData/PotatoTask/potato_task/lib/domain/timer/timer_unit.dart", "Dart", 77, 0, 0, 12, 20, 109
"/LinuxData/PotatoTask/potato_task/lib/main.dart", "Dart", 57, 0, 0, 54, 12, 123
"/LinuxData/PotatoTask/potato_task/lib/rearch/timer.dart", "Dart", 93, 0, 0, 2, 19, 114
"/LinuxData/PotatoTask/potato_task/lib/rearch/timer_unit.dart", "Dart", 47, 0, 0, 3, 13, 63
"/LinuxData/PotatoTask/potato_task/pubspec.yaml", "YAML", 0, 18, 0, 60, 14, 92
"/LinuxData/PotatoTask/potato_task/test/widget_test.dart", "Dart", 14, 0, 0, 10, 7, 31
"Total", "-", 587, 24, 13, 174, 171, 969
