# Integer indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0
240	0.0
250	0.0
260	0.0
270	0.0
280	0.0
290	0.0
300	0.0
310	0.0
320	0.0
330	0.0
340	0.0
350	0.0
360	0.0
370	0.0
380	0.0
390	0.0
400	0.0
410	0.0
420	0.0
430	0.0
440	0.0
450	0.0
460	0.0
470	0.0
480	0.0
490	0.0
500	0.0
510	0.0
520	0.0
530	0.0
540	0.0
550	0.0
560	0.0
570	0.0
580	0.0
590	0.0
600	0.0
610	0.0
620	0.0
630	0.0
640	0.0
650	0.0
660	0.0
670	0.0
680	0.0
690	0.0
700	0.0
710	0.001
720	0.0005
730	0.0015
740	0.0015
750	0.002
760	0.0015
770	0.0015
780	0.002
790	0.0005
800	0.0035
810	0.003
820	0.0065
830	0.0055
840	0.0085
850	0.01
860	0.016
870	0.016
880	0.021
890	0.0315
900	0.037
910	0.043
920	0.057
930	0.0565
940	0.0635
950	0.076
960	0.097
970	0.1005
980	0.102
990	0.1205
1000	0.159
1010	0.1655
1020	0.1955
1030	0.205
1040	0.2455
1050	0.2745
1060	0.2835
1070	0.322
1080	0.3545
1090	0.381
1100	0.399
1110	0.4625
1120	0.4755
1130	0.507
1140	0.5255
1150	0.6025
1160	0.607
1170	0.607
1180	0.658
1190	0.6825
1200	0.7325
1210	0.7295
1220	0.762
1230	0.789
1240	0.809
1250	0.83
1260	0.8525
1270	0.8655
1280	0.8855
1290	0.9025
1300	0.907
1310	0.9075
1320	0.9275
1330	0.9415
1340	0.942
1350	0.9455
1360	0.9585
1370	0.9645
1380	0.9655
1390	0.9715
1400	0.9785
1410	0.982
1420	0.983
1430	0.9825
1440	0.9825
1450	0.9885
1460	0.988
1470	0.9865
1480	0.99
1490	0.9945
1500	0.993
1510	0.9925
1520	0.994
1530	0.997
1540	0.9955
1550	0.995
1560	0.9965
1570	0.9955
1580	0.9985
1590	0.9975
1600	0.9975
1610	0.998
1620	0.998
1630	0.997
1640	0.9975
1650	0.9985
1660	0.999
1670	0.9975
1680	0.9995
1690	0.998
1700	0.999
1710	0.998
1720	0.9975
1730	1.0
1740	0.9995
1750	0.9975
1760	0.999
1770	0.9995
1780	0.9995
1790	0.999
1800	0.9995
1810	1.0
1820	0.999
1830	1.0
1840	1.0
1850	1.0
1860	1.0
1870	0.9985
1880	0.9995
1890	1.0
1900	1.0
1910	1.0
1920	0.9995
1930	0.9995
1940	1.0
1950	0.9995
1960	1.0
1970	0.9995
1980	1.0
1990	1.0
2000	0.9995

# Float indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0
240	0.0
250	0.0
260	0.0
270	0.0
280	0.0
290	0.0
300	0.0
310	0.0
320	0.0
330	0.0
340	0.0
350	0.0
360	0.0
370	0.0
380	0.0
390	0.0
400	0.0
410	0.0
420	0.0
430	0.0
440	0.0
450	0.0
460	0.0
470	0.0
480	0.0
490	0.0
500	0.0
510	0.0
520	0.0
530	0.0
540	0.0
550	0.0
560	0.0
570	0.0
580	0.0
590	0.0
600	0.0
610	0.0
620	0.0
630	0.0
640	0.0
650	0.0
660	0.0
670	0.0
680	0.001
690	0.0
700	0.0015
710	0.0005
720	0.0
730	0.0015
740	0.0015
750	0.0035
760	0.004
770	0.0065
780	0.007
790	0.007
800	0.0075
810	0.0115
820	0.0165
830	0.015
840	0.019
850	0.0225
860	0.038
870	0.0375
880	0.052
890	0.0525
900	0.073
910	0.0765
920	0.0795
930	0.103
940	0.117
950	0.1255
960	0.149
970	0.1735
980	0.1845
990	0.195
1000	0.239
1010	0.254
1020	0.298
1030	0.3285
1040	0.3355
1050	0.3865
1060	0.417
1070	0.452
1080	0.5025
1090	0.495
1100	0.5615
1110	0.575
1120	0.5985
1130	0.643
1140	0.652
1150	0.699
1160	0.7335
1170	0.747
1180	0.77
1190	0.803
1200	0.832
1210	0.843
1220	0.858
1230	0.88
1240	0.901
1250	0.9185
1260	0.9205
1270	0.9375
1280	0.9455
1290	0.943
1300	0.9585
1310	0.963
1320	0.9705
1330	0.9785
1340	0.975
1350	0.978
1360	0.9835
1370	0.9875
1380	0.9895
1390	0.992
1400	0.9925
1410	0.9975
1420	0.9935
1430	0.993
1440	0.995
1450	0.997
1460	0.999
1470	0.9995
1480	0.998
1490	0.9985
1500	0.9985
1510	0.9995
1520	0.999
1530	0.9975
1540	0.9995
1550	0.9995
1560	0.999
1570	1.0
1580	0.9995
1590	0.9995
1600	0.9995
1610	1.0
1620	1.0
1630	1.0
1640	1.0
1650	1.0
1660	1.0
1670	1.0
1680	1.0
1690	1.0
1700	1.0
1710	1.0
1720	1.0
1730	1.0
1740	0.9995
1750	1.0
1760	1.0
1770	1.0
1780	1.0
1790	1.0
1800	1.0
1810	1.0
1820	1.0
1830	1.0
1840	1.0
1850	1.0
1860	1.0
1870	1.0
1880	1.0
1890	1.0
1900	1.0
1910	1.0
1920	1.0
1930	1.0
1940	1.0
1950	1.0
1960	1.0
1970	1.0
1980	1.0
1990	1.0
2000	1.0
