# Integer indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0
240	0.0
250	0.0
260	0.0
270	0.0015
280	0.0
290	0.001
300	0.0005
310	0.003
320	0.0065
330	0.008
340	0.0105
350	0.0155
360	0.029
370	0.0355
380	0.046
390	0.0595
400	0.0745
410	0.0865
420	0.125
430	0.1345
440	0.1435
450	0.18
460	0.237
470	0.2495
480	0.292
490	0.331
500	0.345
510	0.379
520	0.4375
530	0.4495
540	0.488
550	0.522
560	0.5335
570	0.616
580	0.6015
590	0.6235
600	0.6625
610	0.695
620	0.7165
630	0.731
640	0.7685
650	0.7815
660	0.7865
670	0.7865
680	0.8275
690	0.8365
700	0.845
710	0.8555
720	0.8685
730	0.871
740	0.875
750	0.885
760	0.886
770	0.902
780	0.9095
790	0.9045
800	0.9075
810	0.9145
820	0.9295
830	0.92
840	0.9185
850	0.9405
860	0.9475
870	0.939
880	0.943
890	0.9485
900	0.952
910	0.9495
920	0.958
930	0.9575
940	0.9645
950	0.9685
960	0.965
970	0.9685
980	0.974
990	0.9725
1000	0.9745
1010	0.98
1020	0.972
1030	0.9765
1040	0.9835
1050	0.981
1060	0.9875
1070	0.979
1080	0.982
1090	0.983
1100	0.9875
1110	0.9845
1120	0.99
1130	0.9895
1140	0.987
1150	0.9895
1160	0.9895
1170	0.9905
1180	0.994
1190	0.992
1200	0.994
1210	0.9955
1220	0.991
1230	0.993
1240	0.9945
1250	0.9925
1260	0.9935
1270	0.9955
1280	0.997
1290	0.994
1300	0.996
1310	0.997
1320	0.9945
1330	0.9955
1340	0.996
1350	0.998
1360	0.999
1370	0.9965
1380	0.997
1390	0.998
1400	0.9975
1410	0.997
1420	0.9965
1430	0.9965
1440	0.9975
1450	0.998
1460	0.999
1470	0.9985
1480	0.998
1490	0.999
1500	0.999
1510	0.9985
1520	0.9985
1530	0.999
1540	0.999
1550	0.999
1560	0.998
1570	0.998
1580	0.9995
1590	0.9995
1600	0.9995
1610	1.0
1620	1.0
1630	1.0
1640	0.9995
1650	0.9995
1660	0.9995
1670	0.999
1680	0.9995
1690	0.9985
1700	0.9995
1710	0.9995
1720	0.9995
1730	1.0
1740	1.0
1750	1.0
1760	0.9995
1770	0.9995
1780	0.999
1790	1.0
1800	1.0
1810	1.0
1820	1.0
1830	1.0
1840	1.0
1850	1.0
1860	0.9995
1870	0.9995
1880	1.0
1890	1.0
1900	1.0
1910	1.0
1920	0.9995
1930	1.0
1940	1.0
1950	1.0
1960	0.9995
1970	0.9995
1980	1.0
1990	1.0
2000	1.0

# Float indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0005
240	0.0005
250	0.001
260	0.0005
270	0.0035
280	0.0065
290	0.007
300	0.011
310	0.0175
320	0.026
330	0.037
340	0.0535
350	0.068
360	0.0885
370	0.1285
380	0.1485
390	0.173
400	0.2125
410	0.2585
420	0.31
430	0.365
440	0.439
450	0.4545
460	0.5
470	0.5055
480	0.572
490	0.5915
500	0.6595
510	0.688
520	0.737
530	0.771
540	0.783
550	0.8205
560	0.8385
570	0.857
580	0.8905
590	0.892
600	0.9005
610	0.9275
620	0.9295
630	0.93
640	0.949
650	0.958
660	0.964
670	0.969
680	0.9755
690	0.9725
700	0.983
710	0.983
720	0.9905
730	0.9845
740	0.9925
750	0.993
760	0.9915
770	0.995
780	0.996
790	0.9955
800	0.996
810	0.995
820	0.999
830	0.9985
840	0.998
850	1.0
860	0.9995
870	1.0
880	0.9995
890	0.9995
900	1.0
910	0.999
920	0.9995
930	1.0
940	1.0
950	0.9995
960	0.9995
970	1.0
980	0.9995
990	1.0
1000	1.0
1010	0.9995
1020	1.0
1030	1.0
1040	1.0
1050	0.9995
1060	1.0
1070	1.0
1080	1.0
1090	1.0
1100	1.0
1110	1.0
1120	1.0
1130	1.0
1140	1.0
1150	1.0
1160	1.0
1170	1.0
1180	1.0
1190	1.0
1200	1.0
1210	1.0
1220	1.0
1230	1.0
1240	1.0
1250	1.0
1260	1.0
1270	1.0
1280	1.0
1290	1.0
1300	1.0
1310	1.0
1320	1.0
1330	1.0
1340	1.0
1350	1.0
1360	1.0
1370	1.0
1380	1.0
1390	1.0
1400	1.0
1410	1.0
1420	1.0
1430	1.0
1440	1.0
1450	1.0
1460	1.0
1470	1.0
1480	1.0
1490	1.0
1500	1.0
1510	1.0
1520	1.0
1530	1.0
1540	1.0
1550	1.0
1560	1.0
1570	1.0
1580	1.0
1590	1.0
1600	1.0
1610	1.0
1620	1.0
1630	1.0
1640	1.0
1650	1.0
1660	1.0
1670	1.0
1680	1.0
1690	1.0
1700	1.0
1710	1.0
1720	1.0
1730	1.0
1740	1.0
1750	1.0
1760	1.0
1770	1.0
1780	1.0
1790	1.0
1800	1.0
1810	1.0
1820	1.0
1830	1.0
1840	1.0
1850	1.0
1860	1.0
1870	1.0
1880	1.0
1890	1.0
1900	1.0
1910	1.0
1920	1.0
1930	1.0
1940	1.0
1950	1.0
1960	1.0
1970	1.0
1980	1.0
1990	1.0
2000	1.0
