# Integer indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0
240	0.0
250	0.0
260	0.0
270	0.0005
280	0.0005
290	0.0005
300	0.002
310	0.0005
320	0.002
330	0.003
340	0.002
350	0.006
360	0.003
370	0.004
380	0.0085
390	0.0105
400	0.01
410	0.013
420	0.015
430	0.027
440	0.0295
450	0.0335
460	0.032
470	0.041
480	0.0475
490	0.058
500	0.0625
510	0.059
520	0.0775
530	0.0735
540	0.091
550	0.0915
560	0.121
570	0.1015
580	0.1475
590	0.1405
600	0.154
610	0.1935
620	0.187
630	0.1845
640	0.189
650	0.2175
660	0.218
670	0.2365
680	0.266
690	0.274
700	0.2915
710	0.305
720	0.3255
730	0.321
740	0.326
750	0.3905
760	0.3955
770	0.3945
780	0.4225
790	0.449
800	0.459
810	0.4735
820	0.488
830	0.4955
840	0.518
850	0.535
860	0.561
870	0.5535
880	0.6095
890	0.5935
900	0.602
910	0.6175
920	0.642
930	0.656
940	0.67
950	0.674
960	0.711
970	0.6955
980	0.728
990	0.7455
1000	0.7405
1010	0.7715
1020	0.7725
1030	0.793
1040	0.81
1050	0.808
1060	0.808
1070	0.828
1080	0.832
1090	0.854
1100	0.859
1110	0.8735
1120	0.878
1130	0.8825
1140	0.874
1150	0.8935
1160	0.9015
1170	0.9115
1180	0.9095
1190	0.9245
1200	0.923
1210	0.9265
1220	0.936
1230	0.935
1240	0.9405
1250	0.9415
1260	0.955
1270	0.9505
1280	0.9515
1290	0.9725
1300	0.963
1310	0.9685
1320	0.9665
1330	0.9665
1340	0.9745
1350	0.977
1360	0.98
1370	0.9845
1380	0.982
1390	0.981
1400	0.981
1410	0.989
1420	0.9855
1430	0.9865
1440	0.99
1450	0.989
1460	0.991
1470	0.9935
1480	0.9925
1490	0.992
1500	0.9945
1510	0.998
1520	0.9975
1530	0.9935
1540	0.996
1550	0.997
1560	0.996
1570	0.9965
1580	0.9955
1590	0.998
1600	0.9975
1610	0.996
1620	0.998
1630	0.9975
1640	0.9985
1650	0.998
1660	0.999
1670	0.999
1680	0.9995
1690	0.9995
1700	0.999
1710	0.999
1720	1.0
1730	1.0
1740	0.9995
1750	0.9985
1760	1.0
1770	1.0
1780	0.999
1790	0.9995
1800	0.9995
1810	1.0
1820	0.9995
1830	1.0
1840	0.9995
1850	1.0
1860	1.0
1870	1.0
1880	0.9995
1890	0.9995
1900	0.9995
1910	1.0
1920	1.0
1930	0.9995
1940	0.9995
1950	1.0
1960	0.9995
1970	1.0
1980	1.0
1990	1.0
2000	1.0

# Float indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0
240	0.0005
250	0.001
260	0.0005
270	0.0025
280	0.0015
290	0.003
300	0.005
310	0.0055
320	0.0075
330	0.01
340	0.0165
350	0.021
360	0.024
370	0.0355
380	0.0395
390	0.045
400	0.054
410	0.0545
420	0.065
430	0.0845
440	0.0935
450	0.1065
460	0.134
470	0.125
480	0.1595
490	0.1735
500	0.2005
510	0.199
520	0.205
530	0.2425
540	0.2555
550	0.266
560	0.2955
570	0.3005
580	0.351
590	0.353
600	0.3735
610	0.3925
620	0.438
630	0.444
640	0.458
650	0.464
660	0.4955
670	0.511
680	0.5635
690	0.559
700	0.5815
710	0.602
720	0.6275
730	0.657
740	0.646
750	0.6745
760	0.6825
770	0.725
780	0.71
790	0.7355
800	0.737
810	0.7805
820	0.7735
830	0.785
840	0.793
850	0.8165
860	0.8355
870	0.8295
880	0.8485
890	0.844
900	0.8785
910	0.86
920	0.8845
930	0.8915
940	0.8955
950	0.903
960	0.908
970	0.913
980	0.931
990	0.922
1000	0.937
1010	0.936
1020	0.943
1030	0.9495
1040	0.9545
1050	0.9555
1060	0.958
1070	0.962
1080	0.959
1090	0.966
1100	0.9705
1110	0.968
1120	0.97
1130	0.9785
1140	0.9805
1150	0.981
1160	0.98
1170	0.9855
1180	0.9855
1190	0.9855
1200	0.9875
1210	0.992
1220	0.984
1230	0.9915
1240	0.9875
1250	0.992
1260	0.994
1270	0.991
1280	0.994
1290	0.994
1300	0.994
1310	0.996
1320	0.994
1330	0.998
1340	0.9965
1350	0.9985
1360	0.9985
1370	0.998
1380	0.996
1390	0.998
1400	0.998
1410	0.998
1420	0.9975
1430	0.9995
1440	0.9995
1450	0.9995
1460	0.9975
1470	1.0
1480	0.9995
1490	0.999
1500	0.9995
1510	0.9995
1520	0.9995
1530	0.9985
1540	0.9995
1550	1.0
1560	1.0
1570	1.0
1580	1.0
1590	1.0
1600	1.0
1610	0.9995
1620	0.9995
1630	1.0
1640	1.0
1650	1.0
1660	1.0
1670	1.0
1680	1.0
1690	1.0
1700	1.0
1710	1.0
1720	1.0
1730	1.0
1740	1.0
1750	1.0
1760	1.0
1770	1.0
1780	1.0
1790	1.0
1800	1.0
1810	1.0
1820	1.0
1830	1.0
1840	1.0
1850	1.0
1860	1.0
1870	1.0
1880	1.0
1890	1.0
1900	1.0
1910	1.0
1920	1.0
1930	1.0
1940	1.0
1950	1.0
1960	1.0
1970	1.0
1980	1.0
1990	1.0
2000	1.0
