# Integer indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0
240	0.0
250	0.0
260	0.0
270	0.0
280	0.0
290	0.0
300	0.0
310	0.0
320	0.0
330	0.0
340	0.0
350	0.0
360	0.0
370	0.0
380	0.0
390	0.0
400	0.0
410	0.0
420	0.0
430	0.0
440	0.0
450	0.0
460	0.0
470	0.0
480	0.0
490	0.0
500	0.0
510	0.0
520	0.0
530	0.0
540	0.0
550	0.0
560	0.0
570	0.0
580	0.0
590	0.0
600	0.0
610	0.0
620	0.0
630	0.0
640	0.0
650	0.0
660	0.0
670	0.0
680	0.0
690	0.0
700	0.0
710	0.0
720	0.0
730	0.0
740	0.0005
750	0.0
760	0.0
770	0.0
780	0.0005
790	0.001
800	0.0
810	0.001
820	0.0015
830	0.0015
840	0.0015
850	0.002
860	0.0035
870	0.0055
880	0.0045
890	0.0055
900	0.006
910	0.0055
920	0.0165
930	0.015
940	0.0245
950	0.0205
960	0.0335
970	0.034
980	0.044
990	0.056
1000	0.0725
1010	0.086
1020	0.0915
1030	0.1105
1040	0.131
1050	0.154
1060	0.195
1070	0.215
1080	0.227
1090	0.24
1100	0.285
1110	0.2895
1120	0.3315
1130	0.357
1140	0.393
1150	0.4535
1160	0.4975
1170	0.5015
1180	0.562
1190	0.579
1200	0.6155
1210	0.6615
1220	0.694
1230	0.7185
1240	0.741
1250	0.7735
1260	0.807
1270	0.8255
1280	0.8365
1290	0.8565
1300	0.867
1310	0.8865
1320	0.903
1330	0.9245
1340	0.9225
1350	0.9405
1360	0.9425
1370	0.955
1380	0.9635
1390	0.9615
1400	0.971
1410	0.9695
1420	0.974
1430	0.9735
1440	0.982
1450	0.9815
1460	0.9855
1470	0.9915
1480	0.9885
1490	0.9905
1500	0.991
1510	0.9915
1520	0.994
1530	0.993
1540	0.994
1550	0.996
1560	0.9945
1570	0.996
1580	0.997
1590	0.9945
1600	0.996
1610	0.9975
1620	0.996
1630	0.9985
1640	0.9985
1650	0.998
1660	0.9985
1670	0.998
1680	0.999
1690	0.9985
1700	0.9995
1710	0.999
1720	0.9995
1730	0.9995
1740	0.999
1750	1.0
1760	0.9995
1770	1.0
1780	0.998
1790	0.997
1800	0.999
1810	0.9995
1820	0.9995
1830	1.0
1840	0.9985
1850	0.998
1860	0.9995
1870	0.999
1880	0.9995
1890	1.0
1900	1.0
1910	1.0
1920	1.0
1930	1.0
1940	1.0
1950	1.0
1960	1.0
1970	1.0
1980	0.9995
1990	1.0
2000	1.0

# Float indexing data points
# Moves	Failure Rate
10	0.0
20	0.0
30	0.0
40	0.0
50	0.0
60	0.0
70	0.0
80	0.0
90	0.0
100	0.0
110	0.0
120	0.0
130	0.0
140	0.0
150	0.0
160	0.0
170	0.0
180	0.0
190	0.0
200	0.0
210	0.0
220	0.0
230	0.0
240	0.0
250	0.0
260	0.0
270	0.0
280	0.0
290	0.0
300	0.0
310	0.0
320	0.0
330	0.0
340	0.0
350	0.0
360	0.0
370	0.0
380	0.0
390	0.0
400	0.0
410	0.0
420	0.0
430	0.0
440	0.0
450	0.0
460	0.0
470	0.0
480	0.0
490	0.0
500	0.0
510	0.0
520	0.0
530	0.0
540	0.0
550	0.0
560	0.0
570	0.0
580	0.0
590	0.0
600	0.0
610	0.0
620	0.0
630	0.0
640	0.0
650	0.0
660	0.0
670	0.0
680	0.0
690	0.0
700	0.0005
710	0.0005
720	0.0
730	0.0
740	0.0
750	0.0
760	0.0005
770	0.0005
780	0.001
790	0.0015
800	0.001
810	0.002
820	0.0015
830	0.002
840	0.003
850	0.006
860	0.008
870	0.01
880	0.0085
890	0.0155
900	0.012
910	0.0255
920	0.03
930	0.035
940	0.047
950	0.0515
960	0.064
970	0.0755
980	0.0865
990	0.0965
1000	0.11
1010	0.142
1020	0.1505
1030	0.1785
1040	0.197
1050	0.2315
1060	0.268
1070	0.292
1080	0.3405
1090	0.3445
1100	0.417
1110	0.4215
1120	0.4755
1130	0.5145
1140	0.553
1150	0.571
1160	0.629
1170	0.664
1180	0.699
1190	0.729
1200	0.758
1210	0.7715
1220	0.805
1230	0.823
1240	0.848
1250	0.8755
1260	0.9005
1270	0.8995
1280	0.9225
1290	0.926
1300	0.9475
1310	0.9545
1320	0.9635
1330	0.964
1340	0.9725
1350	0.9775
1360	0.9775
1370	0.9805
1380	0.984
1390	0.9905
1400	0.985
1410	0.99
1420	0.992
1430	0.9935
1440	0.997
1450	0.9955
1460	0.998
1470	0.9965
1480	0.997
1490	0.998
1500	0.997
1510	0.998
1520	0.999
1530	0.9995
1540	0.9995
1550	0.999
1560	1.0
1570	0.9995
1580	1.0
1590	0.9995
1600	1.0
1610	0.9995
1620	1.0
1630	1.0
1640	1.0
1650	1.0
1660	1.0
1670	1.0
1680	1.0
1690	0.9995
1700	0.9995
1710	1.0
1720	0.9995
1730	1.0
1740	1.0
1750	1.0
1760	1.0
1770	1.0
1780	0.9995
1790	1.0
1800	1.0
1810	1.0
1820	1.0
1830	1.0
1840	1.0
1850	1.0
1860	1.0
1870	1.0
1880	1.0
1890	1.0
1900	1.0
1910	1.0
1920	1.0
1930	1.0
1940	1.0
1950	1.0
1960	1.0
1970	1.0
1980	1.0
1990	1.0
2000	1.0
